,image_name,group_id,group_start_frame_idx,frame_idx,left_most_column,right_most_column,left_most_index,right_most_index
0,content\data\images\10H-15L\image_group_0_frame_84.0.jpg,0,0.0,84.0,906,1151,3,1
1,content\data\images\10H-15L\image_group_0_frame_87.0.jpg,0,0.0,87.0,762,906,0,5
2,content\data\images\10H-15L\image_group_0_frame_88.0.jpg,0,0.0,88.0,876,1123,2,3
3,content\data\images\10H-15L\image_group_0_frame_89.0.jpg,0,0.0,89.0,906,1151,4,0
4,content\data\images\10H-15L\image_group_0_frame_92.0.jpg,0,0.0,92.0,762,939,1,4
5,content\data\images\10H-15L\image_group_0_frame_93.0.jpg,0,0.0,93.0,906,1145,5,2
0,content\data\images\10H-15L\image_group_1_frame_138.0.jpg,1,102.0,138.0,759,906,0,7
1,content\data\images\10H-15L\image_group_1_frame_139.0.jpg,1,102.0,139.0,802,1071,3,4
2,content\data\images\10H-15L\image_group_1_frame_140.0.jpg,1,102.0,140.0,906,1155,5,1
3,content\data\images\10H-15L\image_group_1_frame_143.0.jpg,1,102.0,143.0,759,906,1,6
4,content\data\images\10H-15L\image_group_1_frame_144.0.jpg,1,102.0,144.0,854,1119,4,3
5,content\data\images\10H-15L\image_group_1_frame_145.0.jpg,1,102.0,145.0,906,1155,6,0
6,content\data\images\10H-15L\image_group_1_frame_148.0.jpg,1,102.0,148.0,759,933,2,5
7,content\data\images\10H-15L\image_group_1_frame_149.0.jpg,1,102.0,149.0,906,1147,7,2
0,content\data\images\10H-15L\image_group_2_frame_194.0.jpg,2,157.0,194.0,758,906,0,5
1,content\data\images\10H-15L\image_group_2_frame_195.0.jpg,2,157.0,195.0,800,1069,2,3
2,content\data\images\10H-15L\image_group_2_frame_196.0.jpg,2,157.0,196.0,905,1155,4,1
3,content\data\images\10H-15L\image_group_2_frame_199.0.jpg,2,157.0,199.0,758,906,1,4
4,content\data\images\10H-15L\image_group_2_frame_200.0.jpg,2,157.0,200.0,849,1115,3,2
5,content\data\images\10H-15L\image_group_2_frame_201.0.jpg,2,157.0,201.0,906,1155,5,0
0,content\data\images\10H-15L\image_group_3_frame_246.0.jpg,3,210.0,246.0,788,987,2,5
1,content\data\images\10H-15L\image_group_3_frame_247.0.jpg,3,210.0,247.0,906,1155,6,2
2,content\data\images\10H-15L\image_group_3_frame_250.0.jpg,3,210.0,250.0,758,906,0,7
3,content\data\images\10H-15L\image_group_3_frame_251.0.jpg,3,210.0,251.0,790,1051,3,4
4,content\data\images\10H-15L\image_group_3_frame_252.0.jpg,3,210.0,252.0,906,1155,7,1
5,content\data\images\10H-15L\image_group_3_frame_255.0.jpg,3,210.0,255.0,759,906,1,6
6,content\data\images\10H-15L\image_group_3_frame_256.0.jpg,3,210.0,256.0,836,1103,4,3
7,content\data\images\10H-15L\image_group_3_frame_257.0.jpg,3,210.0,257.0,905,1155,5,0
0,content\data\images\10H-15L\image_group_4_frame_422.0.jpg,4,264.0,422.0,852,1011,3,3
1,content\data\images\10H-15L\image_group_4_frame_423.0.jpg,4,264.0,423.0,906,1151,4,2
2,content\data\images\10H-15L\image_group_4_frame_426.0.jpg,4,264.0,426.0,762,999,2,4
3,content\data\images\10H-15L\image_group_4_frame_427.0.jpg,4,264.0,427.0,906,1151,5,1
4,content\data\images\10H-15L\image_group_4_frame_430.0.jpg,4,264.0,430.0,761,987,0,5
5,content\data\images\10H-15L\image_group_4_frame_431.0.jpg,4,264.0,431.0,906,1151,6,0
6,content\data\images\10H-15L\image_group_4_frame_434.0.jpg,4,264.0,434.0,761,906,1,6
0,content\data\images\10H-15L\image_group_5_frame_477.0.jpg,5,442.0,477.0,758,921,0,3
1,content\data\images\10H-15L\image_group_5_frame_478.0.jpg,5,442.0,478.0,900,1155,5,1
2,content\data\images\10H-15L\image_group_5_frame_481.0.jpg,5,442.0,481.0,758,919,1,5
3,content\data\images\10H-15L\image_group_5_frame_482.0.jpg,5,442.0,482.0,898,1155,4,0
4,content\data\images\10H-15L\image_group_5_frame_485.0.jpg,5,442.0,485.0,758,919,2,4
5,content\data\images\10H-15L\image_group_5_frame_486.0.jpg,5,442.0,486.0,896,1153,3,2
0,content\data\images\10H-15L\image_group_6_frame_532.0.jpg,6,494.0,532.0,758,917,0,5
1,content\data\images\10H-15L\image_group_6_frame_533.0.jpg,6,494.0,533.0,896,1153,3,2
2,content\data\images\10H-15L\image_group_6_frame_536.0.jpg,6,494.0,536.0,758,919,1,4
3,content\data\images\10H-15L\image_group_6_frame_537.0.jpg,6,494.0,537.0,898,1153,4,1
4,content\data\images\10H-15L\image_group_6_frame_540.0.jpg,6,494.0,540.0,758,921,2,3
5,content\data\images\10H-15L\image_group_6_frame_541.0.jpg,6,494.0,541.0,901,1153,5,0
0,content\data\images\10H-15L\image_group_7_frame_584.0.jpg,7,548.0,584.0,906,1155,3,2
1,content\data\images\10H-15L\image_group_7_frame_587.0.jpg,7,548.0,587.0,758,937,0,6
2,content\data\images\10H-15L\image_group_7_frame_588.0.jpg,7,548.0,588.0,906,1155,4,1
3,content\data\images\10H-15L\image_group_7_frame_591.0.jpg,7,548.0,591.0,758,939,1,5
4,content\data\images\10H-15L\image_group_7_frame_592.0.jpg,7,548.0,592.0,906,1155,5,0
5,content\data\images\10H-15L\image_group_7_frame_595.0.jpg,7,548.0,595.0,758,941,2,4
6,content\data\images\10H-15L\image_group_7_frame_596.0.jpg,7,548.0,596.0,906,1125,6,3
0,content\data\images\10H-15L\image_group_8_frame_725.0.jpg,8,603.0,725.0,760,906,0,7
1,content\data\images\10H-15L\image_group_8_frame_726.0.jpg,8,603.0,726.0,843,1151,5,2
2,content\data\images\10H-15L\image_group_8_frame_729.0.jpg,8,603.0,729.0,761,1057,3,3
3,content\data\images\10H-15L\image_group_8_frame_730.0.jpg,8,603.0,730.0,906,1153,7,1
4,content\data\images\10H-15L\image_group_8_frame_732.0.jpg,8,603.0,732.0,760,908,1,5
5,content\data\images\10H-15L\image_group_8_frame_733.0.jpg,8,603.0,733.0,885,1153,6,0
6,content\data\images\10H-15L\image_group_8_frame_735.0.jpg,8,603.0,735.0,760,906,2,6
7,content\data\images\10H-15L\image_group_8_frame_736.0.jpg,8,603.0,736.0,770,989,4,4
0,content\data\images\10H-15L\image_group_9_frame_779.0.jpg,9,742.0,779.0,758,906,0,6
1,content\data\images\10H-15L\image_group_9_frame_780.0.jpg,9,742.0,780.0,821,1151,4,2
2,content\data\images\10H-15L\image_group_9_frame_783.0.jpg,9,742.0,783.0,758,1047,1,3
3,content\data\images\10H-15L\image_group_9_frame_784.0.jpg,9,742.0,784.0,906,1157,6,1
4,content\data\images\10H-15L\image_group_9_frame_786.0.jpg,9,742.0,786.0,758,906,2,5
5,content\data\images\10H-15L\image_group_9_frame_787.0.jpg,9,742.0,787.0,872,1157,5,0
6,content\data\images\10H-15L\image_group_9_frame_790.0.jpg,9,742.0,790.0,764,975,3,4
0,content\data\images\10H-15L\image_group_10_frame_833.0.jpg,10,796.0,833.0,757,941,0,5
1,content\data\images\10H-15L\image_group_10_frame_834.0.jpg,10,796.0,834.0,848,1155,5,2
2,content\data\images\10H-15L\image_group_10_frame_837.0.jpg,10,796.0,837.0,760,1079,3,3
3,content\data\images\10H-15L\image_group_10_frame_838.0.jpg,10,796.0,838.0,906,1155,6,1
4,content\data\images\10H-15L\image_group_10_frame_840.0.jpg,10,796.0,840.0,757,925,1,6
5,content\data\images\10H-15L\image_group_10_frame_841.0.jpg,10,796.0,841.0,906,1155,7,0
6,content\data\images\10H-15L\image_group_10_frame_843.0.jpg,10,796.0,843.0,757,906,2,7
7,content\data\images\10H-15L\image_group_10_frame_844.0.jpg,10,796.0,844.0,780,1029,4,4
0,content\data\images\10H-15L\image_group_11_frame_887.0.jpg,11,850.0,887.0,758,941,0,6
1,content\data\images\10H-15L\image_group_11_frame_888.0.jpg,11,850.0,888.0,906,1155,6,2
2,content\data\images\10H-15L\image_group_11_frame_890.0.jpg,11,850.0,890.0,758,906,1,8
3,content\data\images\10H-15L\image_group_11_frame_891.0.jpg,11,850.0,891.0,793,1135,4,3
4,content\data\images\10H-15L\image_group_11_frame_892.0.jpg,11,850.0,892.0,906,1156,7,0
5,content\data\images\10H-15L\image_group_11_frame_894.0.jpg,11,850.0,894.0,758,1009,2,5
6,content\data\images\10H-15L\image_group_11_frame_895.0.jpg,11,850.0,895.0,906,1155,8,1
7,content\data\images\10H-15L\image_group_11_frame_897.0.jpg,11,850.0,897.0,758,906,3,7
8,content\data\images\10H-15L\image_group_11_frame_898.0.jpg,11,850.0,898.0,842,1111,5,4
0,content\data\images\10H-15L\image_group_12_frame_1050.0.jpg,12,904.0,1050.0,876,939,4,4
1,content\data\images\10H-15L\image_group_12_frame_1051.0.jpg,12,904.0,1051.0,906,1153,5,3
2,content\data\images\10H-15L\image_group_12_frame_1053.0.jpg,12,904.0,1053.0,760,937,0,5
