,group_id,original_img,edge_img,group_order,column
0,0,image_group_0_frame_73.0.jpg,image_group_0_frame_73.0-edges.jpg,0,left_most_index
1,0,image_group_0_frame_68.0.jpg,image_group_0_frame_68.0-edges.jpg,1,left_most_index
2,0,image_group_0_frame_79.0.jpg,image_group_0_frame_79.0-edges.jpg,0,right_most_index
3,0,image_group_0_frame_70.0.jpg,image_group_0_frame_70.0-edges.jpg,1,right_most_index
0,1,image_group_1_frame_125.0.jpg,image_group_1_frame_125.0-edges.jpg,0,left_most_index
1,1,image_group_1_frame_129.0.jpg,image_group_1_frame_129.0-edges.jpg,1,left_most_index
2,1,image_group_1_frame_126.0.jpg,image_group_1_frame_126.0-edges.jpg,0,right_most_index
3,1,image_group_1_frame_131.0.jpg,image_group_1_frame_131.0-edges.jpg,1,right_most_index
0,2,image_group_2_frame_176.0.jpg,image_group_2_frame_176.0-edges.jpg,0,left_most_index
1,2,image_group_2_frame_181.0.jpg,image_group_2_frame_181.0-edges.jpg,1,left_most_index
2,2,image_group_2_frame_187.0.jpg,image_group_2_frame_187.0-edges.jpg,0,right_most_index
3,2,image_group_2_frame_178.0.jpg,image_group_2_frame_178.0-edges.jpg,1,right_most_index
0,3,image_group_3_frame_232.0.jpg,image_group_3_frame_232.0-edges.jpg,0,left_most_index
1,3,image_group_3_frame_237.0.jpg,image_group_3_frame_237.0-edges.jpg,1,left_most_index
2,3,image_group_3_frame_238.0.jpg,image_group_3_frame_238.0-edges.jpg,0,right_most_index
3,3,image_group_3_frame_234.0.jpg,image_group_3_frame_234.0-edges.jpg,1,right_most_index
0,4,image_group_4_frame_394.0.jpg,image_group_4_frame_394.0-edges.jpg,0,left_most_index
1,4,image_group_4_frame_398.0.jpg,image_group_4_frame_398.0-edges.jpg,1,left_most_index
2,4,image_group_4_frame_404.0.jpg,image_group_4_frame_404.0-edges.jpg,0,right_most_index
3,4,image_group_4_frame_400.0.jpg,image_group_4_frame_400.0-edges.jpg,1,right_most_index
0,5,image_group_5_frame_454.0.jpg,image_group_5_frame_454.0-edges.jpg,0,left_most_index
1,5,image_group_5_frame_458.0.jpg,image_group_5_frame_458.0-edges.jpg,1,left_most_index
2,5,image_group_5_frame_459.0.jpg,image_group_5_frame_459.0-edges.jpg,0,right_most_index
3,5,image_group_5_frame_451.0.jpg,image_group_5_frame_451.0-edges.jpg,1,right_most_index
0,6,image_group_6_frame_512.0.jpg,image_group_6_frame_512.0-edges.jpg,0,left_most_index
1,6,image_group_6_frame_505.0.jpg,image_group_6_frame_505.0-edges.jpg,1,left_most_index
2,6,image_group_6_frame_510.0.jpg,image_group_6_frame_510.0-edges.jpg,0,right_most_index
3,6,image_group_6_frame_506.0.jpg,image_group_6_frame_506.0-edges.jpg,1,right_most_index
0,7,image_group_7_frame_559.0.jpg,image_group_7_frame_559.0-edges.jpg,0,left_most_index
1,7,image_group_7_frame_563.0.jpg,image_group_7_frame_563.0-edges.jpg,1,left_most_index
2,7,image_group_7_frame_565.0.jpg,image_group_7_frame_565.0-edges.jpg,0,right_most_index
3,7,image_group_7_frame_561.0.jpg,image_group_7_frame_561.0-edges.jpg,1,right_most_index
0,8,image_group_8_frame_771.0.jpg,image_group_8_frame_771.0-edges.jpg,0,left_most_index
1,8,image_group_8_frame_775.0.jpg,image_group_8_frame_775.0-edges.jpg,1,left_most_index
2,8,image_group_8_frame_779.0.jpg,image_group_8_frame_779.0-edges.jpg,0,right_most_index
3,8,image_group_8_frame_776.0.jpg,image_group_8_frame_776.0-edges.jpg,1,right_most_index
0,9,image_group_9_frame_825.0.jpg,image_group_9_frame_825.0-edges.jpg,0,left_most_index
1,9,image_group_9_frame_829.0.jpg,image_group_9_frame_829.0-edges.jpg,1,left_most_index
2,9,image_group_9_frame_830.0.jpg,image_group_9_frame_830.0-edges.jpg,0,right_most_index
3,9,image_group_9_frame_827.0.jpg,image_group_9_frame_827.0-edges.jpg,1,right_most_index
0,10,image_group_10_frame_879.0.jpg,image_group_10_frame_879.0-edges.jpg,0,left_most_index
1,10,image_group_10_frame_886.0.jpg,image_group_10_frame_886.0-edges.jpg,1,left_most_index
2,10,image_group_10_frame_887.0.jpg,image_group_10_frame_887.0-edges.jpg,0,right_most_index
3,10,image_group_10_frame_884.0.jpg,image_group_10_frame_884.0-edges.jpg,1,right_most_index
0,11,image_group_11_frame_933.0.jpg,image_group_11_frame_933.0-edges.jpg,0,left_most_index
1,11,image_group_11_frame_936.0.jpg,image_group_11_frame_936.0-edges.jpg,1,left_most_index
2,11,image_group_11_frame_941.0.jpg,image_group_11_frame_941.0-edges.jpg,0,right_most_index
3,11,image_group_11_frame_934.0.jpg,image_group_11_frame_934.0-edges.jpg,1,right_most_index
0,12,image_group_12_frame_1156.0.jpg,image_group_12_frame_1156.0-edges.jpg,0,left_most_index
1,12,image_group_12_frame_1159.0.jpg,image_group_12_frame_1159.0-edges.jpg,1,left_most_index
2,12,image_group_12_frame_1160.0.jpg,image_group_12_frame_1160.0-edges.jpg,0,right_most_index
3,12,image_group_12_frame_1166.0.jpg,image_group_12_frame_1166.0-edges.jpg,1,right_most_index
0,13,image_group_13_frame_1209.0.jpg,image_group_13_frame_1209.0-edges.jpg,0,left_most_index
1,13,image_group_13_frame_1212.0.jpg,image_group_13_frame_1212.0-edges.jpg,1,left_most_index
2,13,image_group_13_frame_1219.0.jpg,image_group_13_frame_1219.0-edges.jpg,0,right_most_index
3,13,image_group_13_frame_1216.0.jpg,image_group_13_frame_1216.0-edges.jpg,1,right_most_index
0,14,image_group_14_frame_1263.0.jpg,image_group_14_frame_1263.0-edges.jpg,0,left_most_index
1,14,image_group_14_frame_1266.0.jpg,image_group_14_frame_1266.0-edges.jpg,1,left_most_index
2,14,image_group_14_frame_1273.0.jpg,image_group_14_frame_1273.0-edges.jpg,0,right_most_index
3,14,image_group_14_frame_1270.0.jpg,image_group_14_frame_1270.0-edges.jpg,1,right_most_index
0,15,image_group_15_frame_1319.0.jpg,image_group_15_frame_1319.0-edges.jpg,0,left_most_index
1,15,image_group_15_frame_1322.0.jpg,image_group_15_frame_1322.0-edges.jpg,1,left_most_index
2,15,image_group_15_frame_1326.0.jpg,image_group_15_frame_1326.0-edges.jpg,0,right_most_index
3,15,image_group_15_frame_1323.0.jpg,image_group_15_frame_1323.0-edges.jpg,1,right_most_index
0,16,image_group_16_frame_1578.0.jpg,image_group_16_frame_1578.0-edges.jpg,0,left_most_index
1,16,image_group_16_frame_1580.0.jpg,image_group_16_frame_1580.0-edges.jpg,1,left_most_index
2,16,image_group_16_frame_1587.0.jpg,image_group_16_frame_1587.0-edges.jpg,0,right_most_index
3,16,image_group_16_frame_1584.0.jpg,image_group_16_frame_1584.0-edges.jpg,1,right_most_index
0,17,image_group_17_frame_1633.0.jpg,image_group_17_frame_1633.0-edges.jpg,0,left_most_index
1,17,image_group_17_frame_1636.0.jpg,image_group_17_frame_1636.0-edges.jpg,1,left_most_index
2,17,image_group_17_frame_1642.0.jpg,image_group_17_frame_1642.0-edges.jpg,0,right_most_index
3,17,image_group_17_frame_1639.0.jpg,image_group_17_frame_1639.0-edges.jpg,1,right_most_index
0,18,image_group_18_frame_1686.0.jpg,image_group_18_frame_1686.0-edges.jpg,0,left_most_index
1,18,image_group_18_frame_1691.0.jpg,image_group_18_frame_1691.0-edges.jpg,1,left_most_index
2,18,image_group_18_frame_1689.0.jpg,image_group_18_frame_1689.0-edges.jpg,0,right_most_index
3,18,image_group_18_frame_1687.0.jpg,image_group_18_frame_1687.0-edges.jpg,1,right_most_index
0,19,image_group_19_frame_1744.0.jpg,image_group_19_frame_1744.0-edges.jpg,0,left_most_index
1,19,image_group_19_frame_1741.0.jpg,image_group_19_frame_1741.0-edges.jpg,1,left_most_index
2,19,image_group_19_frame_1750.0.jpg,image_group_19_frame_1750.0-edges.jpg,0,right_most_index
3,19,image_group_19_frame_1747.0.jpg,image_group_19_frame_1747.0-edges.jpg,1,right_most_index
0,20,image_group_20_frame_2013.0.jpg,image_group_20_frame_2013.0-edges.jpg,0,left_most_index
1,20,image_group_20_frame_2015.0.jpg,image_group_20_frame_2015.0-edges.jpg,1,left_most_index
2,20,image_group_20_frame_2019.0.jpg,image_group_20_frame_2019.0-edges.jpg,0,right_most_index
3,20,image_group_20_frame_2016.0.jpg,image_group_20_frame_2016.0-edges.jpg,1,right_most_index
0,21,image_group_21_frame_2068.0.jpg,image_group_21_frame_2068.0-edges.jpg,0,left_most_index
1,21,image_group_21_frame_2070.0.jpg,image_group_21_frame_2070.0-edges.jpg,1,left_most_index
2,21,image_group_21_frame_2076.0.jpg,image_group_21_frame_2076.0-edges.jpg,0,right_most_index
3,21,image_group_21_frame_2069.0.jpg,image_group_21_frame_2069.0-edges.jpg,1,right_most_index
0,22,image_group_22_frame_2120.0.jpg,image_group_22_frame_2120.0-edges.jpg,0,left_most_index
1,22,image_group_22_frame_2123.0.jpg,image_group_22_frame_2123.0-edges.jpg,1,left_most_index
2,22,image_group_22_frame_2131.0.jpg,image_group_22_frame_2131.0-edges.jpg,0,right_most_index
3,22,image_group_22_frame_2128.0.jpg,image_group_22_frame_2128.0-edges.jpg,1,right_most_index
0,23,image_group_23_frame_2175.0.jpg,image_group_23_frame_2175.0-edges.jpg,0,left_most_index
1,23,image_group_23_frame_2177.0.jpg,image_group_23_frame_2177.0-edges.jpg,1,left_most_index
2,23,image_group_23_frame_2183.0.jpg,image_group_23_frame_2183.0-edges.jpg,0,right_most_index
3,23,image_group_23_frame_2178.0.jpg,image_group_23_frame_2178.0-edges.jpg,1,right_most_index
0,24,image_group_24_frame_2496.0.jpg,image_group_24_frame_2496.0-edges.jpg,0,left_most_index
1,24,image_group_24_frame_2499.0.jpg,image_group_24_frame_2499.0-edges.jpg,1,left_most_index
2,24,image_group_24_frame_2506.0.jpg,image_group_24_frame_2506.0-edges.jpg,0,right_most_index
3,24,image_group_24_frame_2504.0.jpg,image_group_24_frame_2504.0-edges.jpg,1,right_most_index
0,25,image_group_25_frame_2551.0.jpg,image_group_25_frame_2551.0-edges.jpg,0,left_most_index
1,25,image_group_25_frame_2553.0.jpg,image_group_25_frame_2553.0-edges.jpg,1,left_most_index
2,25,image_group_25_frame_2560.0.jpg,image_group_25_frame_2560.0-edges.jpg,0,right_most_index
3,25,image_group_25_frame_2558.0.jpg,image_group_25_frame_2558.0-edges.jpg,1,right_most_index
0,26,image_group_26_frame_2605.0.jpg,image_group_26_frame_2605.0-edges.jpg,0,left_most_index
1,26,image_group_26_frame_2609.0.jpg,image_group_26_frame_2609.0-edges.jpg,1,left_most_index
2,26,image_group_26_frame_2614.0.jpg,image_group_26_frame_2614.0-edges.jpg,0,right_most_index
3,26,image_group_26_frame_2612.0.jpg,image_group_26_frame_2612.0-edges.jpg,1,right_most_index
0,27,image_group_27_frame_2661.0.jpg,image_group_27_frame_2661.0-edges.jpg,0,left_most_index
1,27,image_group_27_frame_2663.0.jpg,image_group_27_frame_2663.0-edges.jpg,1,left_most_index
2,27,image_group_27_frame_2662.0.jpg,image_group_27_frame_2662.0-edges.jpg,0,right_most_index
3,27,image_group_27_frame_2660.0.jpg,image_group_27_frame_2660.0-edges.jpg,1,right_most_index
0,28,image_group_28_frame_3017.0.jpg,image_group_28_frame_3017.0-edges.jpg,0,left_most_index
1,28,image_group_28_frame_3019.0.jpg,image_group_28_frame_3019.0-edges.jpg,1,left_most_index
2,28,image_group_28_frame_3026.0.jpg,image_group_28_frame_3026.0-edges.jpg,0,right_most_index
3,28,image_group_28_frame_3024.0.jpg,image_group_28_frame_3024.0-edges.jpg,1,right_most_index
0,29,image_group_29_frame_3070.0.jpg,image_group_29_frame_3070.0-edges.jpg,0,left_most_index
1,29,image_group_29_frame_3072.0.jpg,image_group_29_frame_3072.0-edges.jpg,1,left_most_index
2,29,image_group_29_frame_3069.0.jpg,image_group_29_frame_3069.0-edges.jpg,0,right_most_index
3,29,image_group_29_frame_3079.0.jpg,image_group_29_frame_3079.0-edges.jpg,1,right_most_index
0,30,image_group_30_frame_3125.0.jpg,image_group_30_frame_3125.0-edges.jpg,0,left_most_index
1,30,image_group_30_frame_3134.0.jpg,image_group_30_frame_3134.0-edges.jpg,1,left_most_index
2,30,image_group_30_frame_3130.0.jpg,image_group_30_frame_3130.0-edges.jpg,0,right_most_index
3,30,image_group_30_frame_3132.0.jpg,image_group_30_frame_3132.0-edges.jpg,1,right_most_index
0,31,image_group_31_frame_3179.0.jpg,image_group_31_frame_3179.0-edges.jpg,0,left_most_index
1,31,image_group_31_frame_3181.0.jpg,image_group_31_frame_3181.0-edges.jpg,1,left_most_index
2,31,image_group_31_frame_3188.0.jpg,image_group_31_frame_3188.0-edges.jpg,0,right_most_index
3,31,image_group_31_frame_3183.0.jpg,image_group_31_frame_3183.0-edges.jpg,1,right_most_index
