,image_name,group_id,group_start_frame_idx,frame_idx,left_most_column,right_most_column,left_most_index,right_most_index
0,content\data\images\10H-35L\image_group_0_frame_67.0.jpg,0,0.0,67.0,535,913,0,6
1,content\data\images\10H-35L\image_group_0_frame_68.0.jpg,0,0.0,68.0,818,1383,4,3
2,content\data\images\10H-35L\image_group_0_frame_69.0.jpg,0,0.0,69.0,1158,1395,7,2
3,content\data\images\10H-35L\image_group_0_frame_72.0.jpg,0,0.0,72.0,535,997,1,5
4,content\data\images\10H-35L\image_group_0_frame_73.0.jpg,0,0.0,73.0,965,1395,5,1
5,content\data\images\10H-35L\image_group_0_frame_76.0.jpg,0,0.0,76.0,536,663,2,7
6,content\data\images\10H-35L\image_group_0_frame_77.0.jpg,0,0.0,77.0,564,1173,3,4
7,content\data\images\10H-35L\image_group_0_frame_78.0.jpg,0,0.0,78.0,1020,1395,6,0
0,content\data\images\10H-35L\image_group_1_frame_123.0.jpg,1,85.0,123.0,522,925,0,4
1,content\data\images\10H-35L\image_group_1_frame_124.0.jpg,1,85.0,124.0,837,1401,2,2
2,content\data\images\10H-35L\image_group_1_frame_125.0.jpg,1,85.0,125.0,1126,1409,4,1
3,content\data\images\10H-35L\image_group_1_frame_128.0.jpg,1,85.0,128.0,522,1290,1,3
4,content\data\images\10H-35L\image_group_1_frame_129.0.jpg,1,85.0,129.0,970,1409,3,0
0,content\data\images\10H-35L\image_group_2_frame_174.0.jpg,2,138.0,174.0,538,869,2,7
1,content\data\images\10H-35L\image_group_2_frame_175.0.jpg,2,138.0,175.0,634,1307,3,4
2,content\data\images\10H-35L\image_group_2_frame_176.0.jpg,2,138.0,176.0,1060,1409,6,2
3,content\data\images\10H-35L\image_group_2_frame_179.0.jpg,2,138.0,179.0,522,907,0,6
4,content\data\images\10H-35L\image_group_2_frame_180.0.jpg,2,138.0,180.0,768,1385,4,3
5,content\data\images\10H-35L\image_group_2_frame_181.0.jpg,2,138.0,181.0,1080,1409,7,1
6,content\data\images\10H-35L\image_group_2_frame_184.0.jpg,2,138.0,184.0,522,955,1,5
7,content\data\images\10H-35L\image_group_2_frame_185.0.jpg,2,138.0,185.0,930,1409,5,0
0,content\data\images\10H-35L\image_group_3_frame_392.0.jpg,3,193.0,392.0,522,937,0,3
1,content\data\images\10H-35L\image_group_3_frame_393.0.jpg,3,193.0,393.0,887,1407,5,2
2,content\data\images\10H-35L\image_group_3_frame_396.0.jpg,3,193.0,396.0,522,927,1,4
3,content\data\images\10H-35L\image_group_3_frame_397.0.jpg,3,193.0,397.0,858,1407,4,1
4,content\data\images\10H-35L\image_group_3_frame_400.0.jpg,3,193.0,400.0,522,918,2,5
5,content\data\images\10H-35L\image_group_3_frame_401.0.jpg,3,193.0,401.0,830,1407,3,0
0,content\data\images\10H-35L\image_group_4_frame_447.0.jpg,4,409.0,447.0,532,869,0,7
1,content\data\images\10H-35L\image_group_4_frame_448.0.jpg,4,409.0,448.0,680,1383,5,4
2,content\data\images\10H-35L\image_group_4_frame_449.0.jpg,4,409.0,449.0,1140,1398,7,1
3,content\data\images\10H-35L\image_group_4_frame_451.0.jpg,4,409.0,451.0,532,869,1,6
4,content\data\images\10H-35L\image_group_4_frame_452.0.jpg,4,409.0,452.0,678,1383,4,3
5,content\data\images\10H-35L\image_group_4_frame_453.0.jpg,4,409.0,453.0,1134,1398,6,0
6,content\data\images\10H-35L\image_group_4_frame_455.0.jpg,4,409.0,455.0,532,868,2,8
7,content\data\images\10H-35L\image_group_4_frame_456.0.jpg,4,409.0,456.0,674,1381,3,5
8,content\data\images\10H-35L\image_group_4_frame_457.0.jpg,4,409.0,457.0,1140,1397,8,2
0,content\data\images\10H-35L\image_group_5_frame_499.0.jpg,5,463.0,499.0,1050,1401,6,5
1,content\data\images\10H-35L\image_group_5_frame_500.0.jpg,5,463.0,500.0,1123,1413,7,2
2,content\data\images\10H-35L\image_group_5_frame_502.0.jpg,5,463.0,502.0,518,877,0,9
3,content\data\images\10H-35L\image_group_5_frame_503.0.jpg,5,463.0,503.0,683,1403,3,4
4,content\data\images\10H-35L\image_group_5_frame_504.0.jpg,5,463.0,504.0,1125,1413,8,1
5,content\data\images\10H-35L\image_group_5_frame_506.0.jpg,5,463.0,506.0,518,879,1,8
6,content\data\images\10H-35L\image_group_5_frame_507.0.jpg,5,463.0,507.0,690,1405,4,3
