,group_id,original_img,edge_img,group_order,column
0,0,image_group_0_frame_67.0.jpg,image_group_0_frame_67.0-edges.jpg,0,left_most_index
1,0,image_group_0_frame_72.0.jpg,image_group_0_frame_72.0-edges.jpg,1,left_most_index
2,0,image_group_0_frame_78.0.jpg,image_group_0_frame_78.0-edges.jpg,0,right_most_index
3,0,image_group_0_frame_73.0.jpg,image_group_0_frame_73.0-edges.jpg,1,right_most_index
0,1,image_group_1_frame_123.0.jpg,image_group_1_frame_123.0-edges.jpg,0,left_most_index
1,1,image_group_1_frame_128.0.jpg,image_group_1_frame_128.0-edges.jpg,1,left_most_index
2,1,image_group_1_frame_129.0.jpg,image_group_1_frame_129.0-edges.jpg,0,right_most_index
3,1,image_group_1_frame_125.0.jpg,image_group_1_frame_125.0-edges.jpg,1,right_most_index
0,2,image_group_2_frame_179.0.jpg,image_group_2_frame_179.0-edges.jpg,0,left_most_index
1,2,image_group_2_frame_184.0.jpg,image_group_2_frame_184.0-edges.jpg,1,left_most_index
2,2,image_group_2_frame_185.0.jpg,image_group_2_frame_185.0-edges.jpg,0,right_most_index
3,2,image_group_2_frame_181.0.jpg,image_group_2_frame_181.0-edges.jpg,1,right_most_index
0,3,image_group_3_frame_392.0.jpg,image_group_3_frame_392.0-edges.jpg,0,left_most_index
1,3,image_group_3_frame_396.0.jpg,image_group_3_frame_396.0-edges.jpg,1,left_most_index
2,3,image_group_3_frame_401.0.jpg,image_group_3_frame_401.0-edges.jpg,0,right_most_index
3,3,image_group_3_frame_397.0.jpg,image_group_3_frame_397.0-edges.jpg,1,right_most_index
0,4,image_group_4_frame_447.0.jpg,image_group_4_frame_447.0-edges.jpg,0,left_most_index
1,4,image_group_4_frame_451.0.jpg,image_group_4_frame_451.0-edges.jpg,1,left_most_index
2,4,image_group_4_frame_453.0.jpg,image_group_4_frame_453.0-edges.jpg,0,right_most_index
3,4,image_group_4_frame_449.0.jpg,image_group_4_frame_449.0-edges.jpg,1,right_most_index
0,5,image_group_5_frame_502.0.jpg,image_group_5_frame_502.0-edges.jpg,0,left_most_index
1,5,image_group_5_frame_506.0.jpg,image_group_5_frame_506.0-edges.jpg,1,left_most_index
2,5,image_group_5_frame_508.0.jpg,image_group_5_frame_508.0-edges.jpg,0,right_most_index
3,5,image_group_5_frame_504.0.jpg,image_group_5_frame_504.0-edges.jpg,1,right_most_index
0,6,image_group_6_frame_557.0.jpg,image_group_6_frame_557.0-edges.jpg,0,left_most_index
1,6,image_group_6_frame_561.0.jpg,image_group_6_frame_561.0-edges.jpg,1,left_most_index
