,group_id,original_img,edge_img,group_order,column
0,0,image_group_0_frame_87.0.jpg,image_group_0_frame_87.0-edges.jpg,0,left_most_index
1,0,image_group_0_frame_92.0.jpg,image_group_0_frame_92.0-edges.jpg,1,left_most_index
2,0,image_group_0_frame_89.0.jpg,image_group_0_frame_89.0-edges.jpg,0,right_most_index
3,0,image_group_0_frame_84.0.jpg,image_group_0_frame_84.0-edges.jpg,1,right_most_index
0,1,image_group_1_frame_138.0.jpg,image_group_1_frame_138.0-edges.jpg,0,left_most_index
1,1,image_group_1_frame_143.0.jpg,image_group_1_frame_143.0-edges.jpg,1,left_most_index
2,1,image_group_1_frame_145.0.jpg,image_group_1_frame_145.0-edges.jpg,0,right_most_index
3,1,image_group_1_frame_140.0.jpg,image_group_1_frame_140.0-edges.jpg,1,right_most_index
0,2,image_group_2_frame_194.0.jpg,image_group_2_frame_194.0-edges.jpg,0,left_most_index
1,2,image_group_2_frame_199.0.jpg,image_group_2_frame_199.0-edges.jpg,1,left_most_index
2,2,image_group_2_frame_201.0.jpg,image_group_2_frame_201.0-edges.jpg,0,right_most_index
3,2,image_group_2_frame_196.0.jpg,image_group_2_frame_196.0-edges.jpg,1,right_most_index
0,3,image_group_3_frame_250.0.jpg,image_group_3_frame_250.0-edges.jpg,0,left_most_index
1,3,image_group_3_frame_255.0.jpg,image_group_3_frame_255.0-edges.jpg,1,left_most_index
2,3,image_group_3_frame_257.0.jpg,image_group_3_frame_257.0-edges.jpg,0,right_most_index
3,3,image_group_3_frame_252.0.jpg,image_group_3_frame_252.0-edges.jpg,1,right_most_index
0,4,image_group_4_frame_430.0.jpg,image_group_4_frame_430.0-edges.jpg,0,left_most_index
1,4,image_group_4_frame_434.0.jpg,image_group_4_frame_434.0-edges.jpg,1,left_most_index
2,4,image_group_4_frame_431.0.jpg,image_group_4_frame_431.0-edges.jpg,0,right_most_index
3,4,image_group_4_frame_427.0.jpg,image_group_4_frame_427.0-edges.jpg,1,right_most_index
0,5,image_group_5_frame_477.0.jpg,image_group_5_frame_477.0-edges.jpg,0,left_most_index
1,5,image_group_5_frame_481.0.jpg,image_group_5_frame_481.0-edges.jpg,1,left_most_index
2,5,image_group_5_frame_482.0.jpg,image_group_5_frame_482.0-edges.jpg,0,right_most_index
3,5,image_group_5_frame_478.0.jpg,image_group_5_frame_478.0-edges.jpg,1,right_most_index
