,image_name,group_id,group_start_frame_idx,frame_idx,left_most_column,right_most_column,left_most_index,right_most_index
0,content\data\images\10H-20L\image_group_0_frame_212.0.jpg,0,0.0,212.0,906,1231,2,1
1,content\data\images\10H-20L\image_group_0_frame_215.0.jpg,0,0.0,215.0,690,947,0,4
2,content\data\images\10H-20L\image_group_0_frame_216.0.jpg,0,0.0,216.0,906,1227,3,2
3,content\data\images\10H-20L\image_group_0_frame_220.0.jpg,0,0.0,220.0,696,999,1,3
4,content\data\images\10H-20L\image_group_0_frame_221.0.jpg,0,0.0,221.0,906,1231,4,0
0,content\data\images\10H-20L\image_group_1_frame_266.0.jpg,1,230.0,266.0,693,907,0,8
1,content\data\images\10H-20L\image_group_1_frame_267.0.jpg,1,230.0,267.0,702,1017,3,5
2,content\data\images\10H-20L\image_group_1_frame_268.0.jpg,1,230.0,268.0,906,1227,6,1
3,content\data\images\10H-20L\image_group_1_frame_271.0.jpg,1,230.0,271.0,693,907,1,7
4,content\data\images\10H-20L\image_group_1_frame_272.0.jpg,1,230.0,272.0,736,1099,4,4
5,content\data\images\10H-20L\image_group_1_frame_273.0.jpg,1,230.0,273.0,906,1227,7,0
6,content\data\images\10H-20L\image_group_1_frame_276.0.jpg,1,230.0,276.0,693,907,2,6
7,content\data\images\10H-20L\image_group_1_frame_277.0.jpg,1,230.0,277.0,794,1165,5,3
8,content\data\images\10H-20L\image_group_1_frame_278.0.jpg,1,230.0,278.0,906,1189,8,2
0,content\data\images\10H-20L\image_group_2_frame_322.0.jpg,2,286.0,322.0,694,907,0,5
1,content\data\images\10H-20L\image_group_2_frame_323.0.jpg,2,286.0,323.0,702,1019,2,3
2,content\data\images\10H-20L\image_group_2_frame_324.0.jpg,2,286.0,324.0,906,1227,4,1
3,content\data\images\10H-20L\image_group_2_frame_327.0.jpg,2,286.0,327.0,694,907,1,4
4,content\data\images\10H-20L\image_group_2_frame_328.0.jpg,2,286.0,328.0,741,1109,3,2
5,content\data\images\10H-20L\image_group_2_frame_329.0.jpg,2,286.0,329.0,906,1227,5,0
0,content\data\images\10H-20L\image_group_3_frame_374.0.jpg,3,338.0,374.0,700,991,2,5
1,content\data\images\10H-20L\image_group_3_frame_375.0.jpg,3,338.0,375.0,906,1229,5,2
2,content\data\images\10H-20L\image_group_3_frame_378.0.jpg,3,338.0,378.0,690,907,0,7
3,content\data\images\10H-20L\image_group_3_frame_379.0.jpg,3,338.0,379.0,724,1091,3,4
4,content\data\images\10H-20L\image_group_3_frame_380.0.jpg,3,338.0,380.0,906,1229,6,1
5,content\data\images\10H-20L\image_group_3_frame_383.0.jpg,3,338.0,383.0,690,907,1,6
6,content\data\images\10H-20L\image_group_3_frame_384.0.jpg,3,338.0,384.0,791,1171,4,3
7,content\data\images\10H-20L\image_group_3_frame_385.0.jpg,3,338.0,385.0,906,1229,7,0
0,content\data\images\10H-20L\image_group_4_frame_562.0.jpg,4,392.0,562.0,690,907,0,7
1,content\data\images\10H-20L\image_group_4_frame_563.0.jpg,4,392.0,563.0,824,1223,5,2
2,content\data\images\10H-20L\image_group_4_frame_566.0.jpg,4,392.0,566.0,690,907,1,6
3,content\data\images\10H-20L\image_group_4_frame_567.0.jpg,4,392.0,567.0,817,1221,4,3
4,content\data\images\10H-20L\image_group_4_frame_568.0.jpg,4,392.0,568.0,906,1231,7,1
5,content\data\images\10H-20L\image_group_4_frame_570.0.jpg,4,392.0,570.0,690,907,2,5
6,content\data\images\10H-20L\image_group_4_frame_571.0.jpg,4,392.0,571.0,812,1219,3,4
7,content\data\images\10H-20L\image_group_4_frame_572.0.jpg,4,392.0,572.0,825,1231,6,0
0,content\data\images\10H-20L\image_group_5_frame_617.0.jpg,5,582.0,617.0,692,907,0,5
1,content\data\images\10H-20L\image_group_5_frame_618.0.jpg,5,582.0,618.0,832,1221,3,2
2,content\data\images\10H-20L\image_group_5_frame_621.0.jpg,5,582.0,621.0,692,907,1,4
3,content\data\images\10H-20L\image_group_5_frame_622.0.jpg,5,582.0,622.0,839,1223,4,1
4,content\data\images\10H-20L\image_group_5_frame_625.0.jpg,5,582.0,625.0,692,907,2,3
5,content\data\images\10H-20L\image_group_5_frame_626.0.jpg,5,582.0,626.0,846,1225,5,0
0,content\data\images\10H-20L\image_group_6_frame_672.0.jpg,6,634.0,672.0,693,1007,0,5
1,content\data\images\10H-20L\image_group_6_frame_673.0.jpg,6,634.0,673.0,906,1229,3,2
2,content\data\images\10H-20L\image_group_6_frame_676.0.jpg,6,634.0,676.0,693,1021,1,4
3,content\data\images\10H-20L\image_group_6_frame_677.0.jpg,6,634.0,677.0,906,1229,4,1
4,content\data\images\10H-20L\image_group_6_frame_680.0.jpg,6,634.0,680.0,693,1083,2,3
5,content\data\images\10H-20L\image_group_6_frame_681.0.jpg,6,634.0,681.0,906,1229,5,0
0,content\data\images\10H-20L\image_group_7_frame_726.0.jpg,7,688.0,726.0,688,907,0,8
1,content\data\images\10H-20L\image_group_7_frame_727.0.jpg,7,688.0,727.0,758,1193,3,5
2,content\data\images\10H-20L\image_group_7_frame_728.0.jpg,7,688.0,728.0,906,1231,6,1
3,content\data\images\10H-20L\image_group_7_frame_730.0.jpg,7,688.0,730.0,688,907,1,7
4,content\data\images\10H-20L\image_group_7_frame_731.0.jpg,7,688.0,731.0,768,1199,4,4
5,content\data\images\10H-20L\image_group_7_frame_732.0.jpg,7,688.0,732.0,906,1231,7,0
6,content\data\images\10H-20L\image_group_7_frame_734.0.jpg,7,688.0,734.0,688,907,2,6
7,content\data\images\10H-20L\image_group_7_frame_735.0.jpg,7,688.0,735.0,778,1205,5,3
8,content\data\images\10H-20L\image_group_7_frame_736.0.jpg,7,688.0,736.0,906,1230,8,2
0,content\data\images\10H-20L\image_group_8_frame_878.0.jpg,8,742.0,878.0,688,1013,0,4
1,content\data\images\10H-20L\image_group_8_frame_879.0.jpg,8,742.0,879.0,906,1233,5,1
2,content\data\images\10H-20L\image_group_8_frame_881.0.jpg,8,742.0,881.0,688,907,1,6
3,content\data\images\10H-20L\image_group_8_frame_882.0.jpg,8,742.0,882.0,775,1229,4,2
4,content\data\images\10H-20L\image_group_8_frame_885.0.jpg,8,742.0,885.0,688,1089,2,3
5,content\data\images\10H-20L\image_group_8_frame_886.0.jpg,8,742.0,886.0,906,1233,6,0
6,content\data\images\10H-20L\image_group_8_frame_888.0.jpg,8,742.0,888.0,689,907,3,5
