height,length,speed,strip,target_deltatime,deltatime_with_pitch,deltatime_without_pitch,error_with_pitch,error_without_pitch,horizontal_resolution,vertical_resolution
200,217,150,0,3211475,2380052,1205608,-41,-197,119.0,30.0
200,217,150,1,3211475,2352780,1206312,-43,-197,119.0,30.0
200,217,150,2,3211475,2353408,1204020,-43,-198,119.0,30.0
200,217,150,3,3211475,2358636,1199388,-43,-199,119.0,30.0
200,217,180,0,2667733,2361716,1197320,-15,-146,119.0,30.0
200,217,180,1,2667733,2366768,1197388,-15,-146,119.0,30.0
200,217,180,2,2667733,2361208,1198976,-15,-145,119.0,30.0
200,217,180,3,2667733,2352916,1204036,-15,-144,119.0,30.0
200,217,210,0,2291825,2360528,1197316,3,-108,119.0,30.0
200,217,210,1,2291825,2352976,1197364,3,-108,119.0,30.0
200,217,210,2,2291825,2364976,1236664,3,-101,119.0,30.0
200,217,210,3,2291825,2366932,1197716,3,-108,119.0,30.0
200,217,240,0,2000800,2360828,1160400,18,-86,119.0,30.0
200,217,240,1,2000800,2359508,1197308,18,-79,119.0,30.0
200,217,240,2,2000800,2365028,1198392,18,-79,119.0,30.0
200,217,240,3,2000800,2361456,1197404,18,-79,119.0,30.0
200,217,270,0,1781631,2365476,1204076,29,-57,119.0,30.0
200,217,270,1,1781631,2366100,1206336,29,-56,119.0,30.0
200,217,270,2,1781631,2365976,1197296,29,-58,119.0,30.0
200,217,270,3,1781631,2353140,1203992,28,-57,119.0,30.0
200,217,300,0,1600640,2360848,1204388,38,-39,119.0,30.0
200,217,300,1,1600640,2358196,1197304,38,-40,119.0,30.0
200,217,300,2,1600640,2366048,1197680,38,-40,119.0,30.0
200,217,300,3,1600640,2359948,1197320,38,-40,119.0,30.0
200,217,330,0,1457230,2365496,1203104,45,-25,119.0,30.0
200,217,330,1,1457230,2361692,1204728,45,-24,119.0,30.0
200,217,330,2,1457230,2366124,1197296,45,-25,119.0,30.0
200,217,330,3,1457230,2366676,1197684,45,-25,119.0,30.0
200,322,150,0,2022040,2364548,1206372,27,-127,189.0,45.0
200,322,150,1,2022040,2363876,1208540,27,-127,189.0,45.0
